2020-12-08 12:07:04.857 [http-nio-8005-exec-1] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:07:04.858 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:07:04.861 [http-nio-8005-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：3
2020-12-08 12:07:14.459 [http-nio-8005-exec-2] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:07:14.459 [http-nio-8005-exec-3] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:07:14.460 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:07:14.465 [http-nio-8005-exec-3] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：4
2020-12-08 12:07:47.444 [http-nio-8005-exec-4] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:07:47.445 [http-nio-8005-exec-5] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:07:47.445 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:07:47.450 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：4
2020-12-08 12:07:52.054 [http-nio-8005-exec-6] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:07:52.057 [http-nio-8005-exec-7] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:07:52.058 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:07:52.060 [http-nio-8005-exec-7] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-08 12:07:58.054 [http-nio-8005-exec-8] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:07:58.056 [http-nio-8005-exec-9] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:07:58.056 [http-nio-8005-exec-9] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:07:58.059 [http-nio-8005-exec-9] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：2
2020-12-08 12:08:21.330 [http-nio-8005-exec-10] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:08:22.069 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-08 12:08:22.088 [SpringContextShutdownHook] INFO  org.mongodb.driver.connection - Closed connection [connectionId{localValue:2, serverValue:45}] to 127.0.0.1:27017 because the pool has been closed.
2020-12-08 12:08:22.226 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-12-08 12:08:58.051 [main] INFO  com.aiolos.news.AdminApplication - The following profiles are active: dev
